"date","currency","rate"
"2018-01-02",600,"1"
"2018-01-02",601,"0.8338"
"2018-01-02",602,"57.8604"
"2018-01-02",604,"0.9757"
"2018-01-02",605,"112.574"
"2018-01-02",606,"0.7398"
"2018-01-02",608,"7.8146"
"2018-01-03",600,"1"
"2018-01-03",601,"0.8288"
"2018-01-03",602,"57.2877"
"2018-01-03",604,"0.9712"
"2018-01-03",605,"112.184"
"2018-01-03",606,"0.7373"
"2018-01-03",608,"7.8146"
"2018-01-04",600,"1"
"2018-01-04",601,"0.8317"
"2018-01-04",602,"57.47"
"2018-01-04",604,"0.9761"
"2018-01-04",605,"112.2598"
"2018-01-04",606,"0.7373"
"2018-01-04",608,"7.8171"
"2018-01-05",600,"1"
"2018-01-05",601,"0.8288"
"2018-01-05",602,"57.1332"
"2018-01-05",604,"0.975"
"2018-01-05",605,"112.6564"
"2018-01-05",606,"0.7385"
"2018-01-05",608,"7.8179"
"2018-01-06",600,"1"
"2018-01-06",601,"0.8302"
"2018-01-06",602,"57.0962"
"2018-01-06",604,"0.9761"
"2018-01-06",605,"113.2835"
"2018-01-06",606,"0.7379"
"2018-01-06",608,"7.8197"
"2018-01-07",600,"1"
"2018-01-07",601,"0.8302"
"2018-01-07",602,"57.0962"
"2018-01-07",604,"0.9761"
"2018-01-07",605,"113.2835"
"2018-01-07",606,"0.7379"
"2018-01-07",608,"7.8197"
"2018-01-08",600,"1"
"2018-01-08",601,"0.8302"
"2018-01-08",602,"57.0962"
"2018-01-08",604,"0.9761"
"2018-01-08",605,"113.2835"
"2018-01-08",606,"0.7379"
"2018-01-08",608,"7.8197"
"2018-01-09",600,"1"
"2018-01-09",601,"0.8352"
"2018-01-09",602,"57.1097"
"2018-01-09",604,"0.978"
"2018-01-09",605,"113.0377"
"2018-01-09",606,"0.7384"
"2018-01-09",608,"7.8223"
"2018-01-10",600,"1"
"2018-01-10",601,"0.8381"
"2018-01-10",602,"57.0344"
"2018-01-10",604,"0.9828"
"2018-01-10",605,"112.5629"
"2018-01-10",606,"0.7398"
"2018-01-10",608,"7.8212"
"2018-01-11",600,"1"
"2018-01-11",601,"0.8339"
"2018-01-11",602,"57.0368"
"2018-01-11",604,"0.9777"
"2018-01-11",605,"111.4243"
"2018-01-11",606,"0.7394"
"2018-01-11",608,"7.8226"
"2018-01-12",600,"1"
"2018-01-12",601,"0.8322"
"2018-01-12",602,"56.9735"
"2018-01-12",604,"0.9766"
"2018-01-12",605,"111.6668"
"2018-01-12",606,"0.7412"
"2018-01-12",608,"7.8224"
"2018-01-13",600,"1"
"2018-01-13",601,"0.8239"
"2018-01-13",602,"56.6099"
"2018-01-13",604,"0.9712"
"2018-01-13",605,"111.1313"
"2018-01-13",606,"0.7332"
"2018-01-13",608,"7.8242"
"2018-01-14",600,"1"
"2018-01-14",601,"0.8239"
"2018-01-14",602,"56.6099"
"2018-01-14",604,"0.9712"
"2018-01-14",605,"111.1313"
"2018-01-14",606,"0.7332"
"2018-01-14",608,"7.8242"
"2018-01-15",600,"1"
"2018-01-15",601,"0.8239"
"2018-01-15",602,"56.6099"
"2018-01-15",604,"0.9712"
"2018-01-15",605,"111.1313"
"2018-01-15",606,"0.7332"
"2018-01-15",608,"7.8242"
"2018-01-16",600,"1"
"2018-01-16",601,"0.8145"
"2018-01-16",602,"56.4333"
"2018-01-16",604,"0.9611"
"2018-01-16",605,"110.6215"
"2018-01-16",606,"0.7253"
"2018-01-16",608,"7.8236"
"2018-01-17",600,"1"
"2018-01-17",601,"0.8177"
"2018-01-17",602,"56.4392"
"2018-01-17",604,"0.9644"
"2018-01-17",605,"110.7114"
"2018-01-17",606,"0.7266"
"2018-01-17",608,"7.8234"
"2018-01-18",600,"1"
"2018-01-18",601,"0.8195"
"2018-01-18",602,"56.8597"
"2018-01-18",604,"0.9648"
"2018-01-18",605,"110.8006"
"2018-01-18",606,"0.7258"
"2018-01-18",608,"7.819"
"2018-01-19",600,"1"
"2018-01-19",601,"0.8173"
"2018-01-19",602,"56.5694"
"2018-01-19",604,"0.9602"
"2018-01-19",605,"111.2137"
"2018-01-19",606,"0.7209"
"2018-01-19",608,"7.8176"
"2018-01-20",600,"1"
"2018-01-20",601,"0.816"
"2018-01-20",602,"56.5748"
"2018-01-20",604,"0.9594"
"2018-01-20",605,"110.5998"
"2018-01-20",606,"0.7211"
"2018-01-20",608,"7.8184"
"2018-01-21",600,"1"
"2018-01-21",601,"0.816"
"2018-01-21",602,"56.5748"
"2018-01-21",604,"0.9594"
"2018-01-21",605,"110.5998"
"2018-01-21",606,"0.7211"
"2018-01-21",608,"7.8184"
"2018-01-22",600,"1"
"2018-01-22",601,"0.816"
